0.02,2.11
0.04,2.09
0.06,2.10
0.08,2.08
0.10,2.08
0.12,2.07
0.14,2.07
0.16,2.06
0.18,2.06
0.20,2.05
0.22,2.05
0.24,2.04
0.26,2.04
0.28,2.03
0.30,2.03
0.32,2.02
0.34,2.00
0.36,2.01
0.38,1.99
0.40,2.00
0.42,1.99
0.44,1.99
0.46,1.98
0.48,1.99
0.50,1.97
0.52,1.98
0.54,1.96
0.56,1.97
0.58,1.96
0.60,1.97
0.62,1.96
0.64,1.96
0.66,1.95
0.68,1.93
0.70,1.94
0.72,1.93
0.74,1.94
0.76,1.92
0.78,1.93
0.80,1.92
0.82,1.93
0.84,1.91
0.86,1.92
0.88,1.91
0.90,1.92
0.92,1.90
0.94,1.91
0.96,1.90
0.98,1.88
1.00,1.89
1.02,1.88
1.04,1.89
1.06,1.87
1.08,1.89
1.10,1.87
1.12,1.88
1.14,1.87
1.16,1.88
1.18,1.87
1.20,1.88
1.22,1.86
1.24,1.87
1.26,1.86
1.28,1.87
1.30,1.86
1.32,1.84
1.34,1.85
1.36,1.84
1.38,1.85
1.40,1.84
1.42,1.85
1.44,1.83
1.46,1.85
1.48,1.83
1.50,1.84
1.52,1.83
1.54,1.84
1.56,1.83
1.58,1.84
1.60,1.83
1.62,1.81
1.64,1.83
1.66,1.81
1.68,1.82
1.70,1.81
1.72,1.82
1.74,1.81
1.76,1.82
1.78,1.81
1.80,1.82
1.82,1.81
1.84,1.82
1.86,1.80
1.88,1.82
1.90,1.80
1.92,1.82
1.94,1.81
1.96,1.79
1.98,1.80
2.00,1.79
2.02,1.80
2.04,1.79
2.06,1.80
2.08,1.79
2.10,1.80
2.12,1.79
2.14,1.80
2.16,1.79
2.18,1.80
2.20,1.79
2.22,1.80
2.24,1.79
2.26,1.78
2.28,1.79
2.30,1.78
2.32,1.79
2.34,1.78
2.36,1.79
2.38,1.78
2.40,1.79
2.42,1.78
2.44,1.79
2.46,1.78
2.48,1.79
2.50,1.78
2.52,1.79
2.54,1.78
2.56,1.79
2.58,1.78
2.60,1.77
2.62,1.78
2.64,1.77
2.66,1.78
2.68,1.77
2.70,1.78
2.72,1.77
2.74,1.78
2.76,1.77
2.78,1.78
2.80,1.77
2.82,1.78
2.84,1.77
2.86,1.78
2.88,1.77
2.90,1.76
2.92,1.77
2.94,1.76
2.96,1.77
2.98,1.76
3.00,1.77
3.02,1.76
3.04,1.77
3.06,1.76
3.08,1.77
3.10,1.76
3.12,1.77
3.14,1.76
3.16,1.77
3.18,1.76
3.20,1.77
3.22,1.76
3.24,1.75
3.26,1.77
3.28,1.75
3.30,1.77
3.32,1.75
3.34,1.77
3.36,1.75
3.38,1.77
3.40,1.76
3.42,1.77
3.44,1.76
3.46,1.77
3.48,1.76
3.50,1.77
3.52,1.76
3.54,1.75
3.56,1.76
3.58,1.75
3.60,1.76
3.62,1.75
3.64,1.76
3.66,1.75
3.68,1.76
3.70,1.75
3.72,1.76
3.74,1.75
3.76,1.76
3.78,1.75
3.80,1.76
3.82,1.76
3.84,1.77
3.86,1.76
3.88,1.75
3.90,1.76
3.92,1.75
3.94,1.76
3.96,1.75
3.98,1.76
4.00,1.75
4.02,1.76
4.04,1.75
4.06,1.76
4.08,1.75
4.10,1.76
4.12,1.75
4.14,1.76
4.16,1.76
4.18,1.74
4.20,1.76
4.22,1.75
4.24,1.76
4.26,1.75
4.28,1.76
4.30,1.75
4.32,1.76
4.34,1.75
4.36,1.76
4.38,1.75
4.40,1.76
4.42,1.75
4.44,1.76
4.46,1.76
4.48,1.76
4.50,1.76
4.52,1.75
4.54,1.76
4.56,1.75
4.58,1.76
4.60,1.75
4.62,1.76
4.64,1.75
4.66,1.76
4.68,1.75
4.70,1.76
4.72,1.75
4.74,1.76
4.76,1.75
4.78,1.76
4.80,1.75
4.82,1.74
4.84,1.76
4.86,1.75
4.88,1.76
4.90,1.75
4.92,1.76
4.94,1.75
4.96,1.76
4.98,1.75
5.00,1.76
5.02,1.75
5.04,1.76
